Format,n,shapiro_stat,shapiro_p,LS_RV,Scope,Category
4_uniform,7,0.8236045533425441,0.06954407146731968,LS,global,ALL
CSV,7,0.9641854840338794,0.8537364627138486,LS,global,ALL
KG,7,0.8988852296447618,0.32428423907299786,LS,global,ALL
kg_labeled,7,0.8159863135288842,0.05873569085369385,LS,global,ALL
metric_labeled,7,0.8529464842553424,0.1307463867709558,LS,global,ALL
time_labeled,7,0.8551517449543236,0.13691079330365347,LS,global,ALL
unstructured,7,0.8777919354051196,0.21682610191305912,LS,global,ALL
value_labeled,7,0.883201024989205,0.2410403339022693,LS,global,ALL
4_uniform,7,0.8357099466708667,0.09058724926796471,LS,category,Co
CSV,7,0.8095239964841416,0.05082116849756132,LS,category,Co
KG,7,0.863543082556127,0.16282045093965702,LS,category,Co
kg_labeled,7,0.7969419724605814,0.038202785016993535,LS,category,Co
metric_labeled,7,0.7768731093383213,0.024011040489827027,LS,category,Co
time_labeled,7,0.7900366895934549,0.032601125475560246,LS,category,Co
unstructured,7,0.8777991856678766,0.2168571149013982,LS,category,Co
value_labeled,7,0.8854806840459054,0.2519087471029803,LS,category,Co
4_uniform,7,0.9297273156713398,0.5485827833991562,LS,category,E&D
CSV,7,0.8693003412510614,0.18302792575851945,LS,category,E&D
KG,7,0.9215784585093337,0.4817554670460362,LS,category,E&D
kg_labeled,7,0.7693967112928334,0.020142249378594098,LS,category,E&D
metric_labeled,7,0.8333845641645437,0.08613669465637135,LS,category,E&D
time_labeled,7,0.9602236803599422,0.8206513311886507,LS,category,E&D
unstructured,7,0.8347494190496776,0.08872379676407385,LS,category,E&D
value_labeled,7,0.9018545404613942,0.34235960087742456,LS,category,E&D
4_uniform,7,0.8252881899456547,0.07217052372224367,LS,category,SIQ
CSV,7,0.8874459230089882,0.26160383283701594,LS,category,SIQ
KG,7,0.7843533762526707,0.028584560093936832,LS,category,SIQ
kg_labeled,7,0.7319741677789761,0.008193332457803569,LS,category,SIQ
metric_labeled,7,0.760444117878496,0.016291046000296405,LS,category,SIQ
time_labeled,7,0.7283920477202244,0.007504920597107258,LS,category,SIQ
unstructured,7,0.8196562694159601,0.06372996853393711,LS,category,SIQ
value_labeled,7,0.7285833505919643,0.007540231198144671,LS,category,SIQ
4_uniform,7,0.7420826236477942,0.01047986854260064,LS,category,TA
CSV,7,0.8984581906726152,0.32174704873080096,LS,category,TA
KG,7,0.749640746600885,0.012578565610532373,LS,category,TA
kg_labeled,7,0.825866145672545,0.07309319409019409,LS,category,TA
metric_labeled,7,0.7111421277803067,0.004899279258926394,LS,category,TA
time_labeled,7,0.6951503435872994,0.0032811036313078294,LS,category,TA
unstructured,7,0.755953584107799,0.014635496889274907,LS,category,TA
value_labeled,7,0.7786044186981476,0.0250030283295585,LS,category,TA
4_uniform,7,0.8645232529415642,0.16611491210335394,RV,global,ALL
CSV,7,0.9504764455959256,0.7340349005816569,RV,global,ALL
KG,7,0.9007286487167345,0.335416363255306,RV,global,ALL
kg_labeled,7,0.9044640832867565,0.3588749381865387,RV,global,ALL
metric_labeled,7,0.8634016720393638,0.16234996389408413,RV,global,ALL
time_labeled,7,0.9629316593443191,0.8434576893174776,RV,global,ALL
unstructured,7,0.8784564336227113,0.2196843146032431,RV,global,ALL
value_labeled,7,0.8348271038072246,0.08887318366293119,RV,global,ALL
4_uniform,7,0.8065316401741625,0.047506169797692385,RV,category,Co
CSV,7,0.8187259497655296,0.0624276867011012,RV,category,Co
KG,7,0.8830164563682886,0.24017790469436967,RV,category,Co
kg_labeled,7,0.7319741677789757,0.008193332457803496,RV,category,Co
metric_labeled,7,0.9325281995429033,0.5726013034258464,RV,category,Co
time_labeled,7,0.8642312119803253,0.16512721300540462,RV,category,Co
unstructured,7,0.8642312119803253,0.16512721300540462,RV,category,Co
value_labeled,7,0.8132532571633573,0.055256992291195024,RV,category,Co
4_uniform,7,0.813147825547933,0.05512674537862443,RV,category,E&D
CSV,7,0.8394049349458657,0.0980965648001038,RV,category,E&D
KG,7,0.9345841568253488,0.590524658052958,RV,category,E&D
kg_labeled,7,0.8511161506361298,0.12582142609047792,RV,category,E&D
metric_labeled,7,0.9345841568253488,0.590524658052958,RV,category,E&D
time_labeled,7,0.9202476025992193,0.47131835286954843,RV,category,E&D
unstructured,7,0.8877086631182824,0.2629231696569212,RV,category,E&D
value_labeled,7,0.932030904725003,0.5683019541612974,RV,category,E&D
4_uniform,7,0.8169619166527922,0.06002636535512835,RV,category,SIQ
CSV,7,0.9366220846809399,0.6085084506120881,RV,category,SIQ
KG,7,0.7319741677789761,0.008193332457803569,RV,category,SIQ
kg_labeled,7,0.7786044186981476,0.0250030283295585,RV,category,SIQ
metric_labeled,7,0.8164273213849822,0.05931587205075062,RV,category,SIQ
time_labeled,7,0.8744507185023298,0.20293332971920564,RV,category,SIQ
unstructured,7,0.8180887757529729,0.061550147978133345,RV,category,SIQ
value_labeled,7,0.7852994197997221,0.029218816886134206,RV,category,SIQ
4_uniform,7,0.8619417872347167,0.15756282438599217,RV,category,TA
CSV,7,0.8681530407704272,0.17883356237718284,RV,category,TA
KG,7,0.8557514257586674,0.13863171874139707,RV,category,TA
kg_labeled,7,0.8992508044044332,0.326468666043214,RV,category,TA
metric_labeled,7,0.7546845943587279,0.01419769067530306,RV,category,TA
time_labeled,7,0.8513546934228422,0.12645363514977387,RV,category,TA
unstructured,7,0.8733470460260266,0.19851636102605852,RV,category,TA
value_labeled,7,0.8353300510178867,0.089845970052919,RV,category,TA
